Location,Size (sqft),Bedrooms,Bathrooms,Property Type,Year Built,Condition,Nearby Amenities,Crime Rate,Market Demand Index,Price (USD)
Oakland,1353,6,2,Townhouse,1963,Recently Renovated,9,6.06,1.05,3584807
San Jose,3231,5,4,Apartment,2021,Needs Renovation,6,6.27,65.24,2934353
Sacramento,2237,3,5,Villa,1981,Needs Renovation,5,2.28,69.09,4845132
San Jose,1429,2,4,Apartment,2004,Needs Renovation,9,2.24,13.1,2013112
Sacramento,3129,3,2,Independent House,1992,Recently Renovated,4,6.33,36.81,4446274
San Diego,1115,5,5,Independent House,2022,Good,10,9.77,85.93,1705644
Bakersfield,1880,3,4,Villa,2003,Good,2,2.65,58.95,4562966
Oakland,1530,2,1,Condo,2019,Recently Renovated,10,2.84,83.45,4808041
Oakland,2452,3,1,Apartment,1995,New,2,3.26,10.25,3897827
San Francisco,1880,1,4,Villa,1965,Good,5,8.37,33.69,271185
Long Beach,788,3,4,Apartment,1977,Recently Renovated,1,9.34,2.65,1104394
Bakersfield,2853,4,2,Townhouse,1956,Good,4,1.59,43.34,415083
Fresno,3130,6,3,Apartment,2018,Good,5,6.88,76.46,1728822
San Francisco,1493,2,5,Independent House,1970,Good,4,4.88,61.5,3433477
Fresno,3137,3,5,Condo,1952,Needs Renovation,6,8.37,38.36,860073
San Francisco,2086,5,5,Villa,1979,Needs Renovation,1,3.44,96.22,3457656
Oakland,3163,1,2,Villa,2013,Needs Renovation,3,9.45,2.07,570162
San Diego,1116,4,2,Townhouse,1959,Good,8,2.7,26.9,3739869
Oakland,4609,3,2,Villa,2019,Recently Renovated,10,3.47,34.35,1611296
San Francisco,4480,3,2,Independent House,1967,New,10,6.67,27.74,2620025
Long Beach,3176,6,1,Independent House,2012,Needs Renovation,3,6.54,71.36,3206244
Fresno,2216,5,1,Villa,2022,New,9,1.14,19.11,840920
Oakland,605,5,1,Villa,1990,Needs Renovation,4,7.89,85.23,4725188
Fresno,4742,3,1,Apartment,2019,New,5,4.17,76.49,1911930
Sacramento,4946,2,1,Apartment,2011,Needs Renovation,4,1.26,41.38,1202782
Oakland,1049,3,2,Townhouse,1965,Recently Renovated,1,7.53,30.43,3997664
